,stn,TC,sum,lat,lon
0,GP15_3_3,-,0.7241611255399,55.08013,-155.72003
1,GP15_3_4,-,0.731159481267569,55.07994,-155.72033
2,GP15_3_5,-,0.7159615731450047,53.68004,-153.79988
3,GP15_3_6,-,0.7386662188302964,52.00014,-151.99978
4,GP15_3_8,-,0.6912405656570504,47.00009,-151.99986
5,GP15_3_9,-,0.7183199435605214,44.50019,-151.99984
6,GP15_3_10,-,0.7210628842196323,41.99998,-151.99985
7,GP15_3_12,-,0.7714866122371729,37.00007,-152.00017
8,GP15_3_14,-,0.7580911053009902,32.00006,-151.99991
9,GP15_3_15,-,0.7714220214668778,29.5003,-152.0005
10,GP15_3_16,-,0.7254674588087985,26.99984,-152.00004
11,GP15_3_18,-,0.7674825521452959,22.00015,-152.00005
12,GP15_3_18-3,-,0.7694346741804358,19.68113,-154.51301
13,GP15_3_19,-,0.7412133642967306,17.49998,-152.00007
14,GP15_3_21,-,0.776536834178038,11.00013,-152.00001
15,GP15_3_23,-,0.742780612489413,7.52686,-152.01638
16,GP15_3_25,-,0.7508381565118356,5.01547,-152.333
17,GP15_3_27,-,0.7397076695505264,2.49982,-152.01363
18,GP15_3_29,-,0.7209615724126928,0.032,-152.01378
19,GP15_3_31,-,0.7232105683782935,-2.50475,-152.00003
20,GP15_3_33,-,0.7114995815558464,-4.99972,-152.0347
21,GP15_3_35,-,0.7349123810184491,-10.49975,-151.99948
22,GP15_3_37,-,0.7500242714961168,-14.9986,-151.99808
23,GP15_3_39,-,0.7628575467731125,-19.99443,-152.09907
24,GP17-OCE_3_1,-,0.6968056221842794,-19.9999,-152.0003
25,GP17-OCE_3_3,-,0.6764449632291623,-24.9996,-151.25
26,GP17-OCE_3_6,-,0.6636083702394454,-32.5,-150.0012
27,GP17-OCE_3_8,-,0.6868159087531314,-37.5001,-149.2803
28,GP17-OCE_3_10,-,0.623217083631052,-42.5003,-148.4706
29,GP17-OCE_3_12,-,0.6773657657277621,-47.5,-147.5199
30,GP17-OCE_3_14,-,0.72966056203141,-52.312,-146.4033
31,GP17-OCE_3_16,-,0.7238270350585158,-54.9995,-145.6559
32,GP17-OCE_3_18,-,0.761544826882293,-56.1052,-145.3377
33,GP17-OCE_3_20,-,0.6760814150014594,-57.6014,-144.8581
34,GP17-OCE_3_22,-,0.7201032664143876,-59.9971,-143.9992
35,GP17-OCE_3_25,-,0.7228642632546399,-66.9998,-134.9994
36,GP17-OCE_3_27,-,0.7754076024781634,-67.0003,-115.0079
37,GP17-OCE_3_32,-,0.7280890822406331,-59.9984,-82.4956
38,GP17-OCE_3_33,-,0.732600025629243,-57.0001,-78.9996
39,GP17-OCE_3_35,-,0.7298283965042944,-54.3512,-76.5493
40,GP17-OCE_3_37,-,0.7584556898694992,-53.4991,-75.751
41,GP17-OCE_3_38,-,0.7352447718812802,-52.7019,-75.0972
42,GP15_3_3,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,55.08013,-155.72003
43,GP15_3_4,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,55.07994,-155.72033
44,GP15_3_5,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,53.68004,-153.79988
45,GP15_3_6,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,52.00014,-151.99978
46,GP15_3_8,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,47.00009,-151.99986
47,GP15_3_9,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,44.50019,-151.99984
48,GP15_3_10,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,41.99998,-151.99985
