,stn,cog,sum,lat,lon
0,GP15_3_3,-,0.02885854051398664,55.08013,-155.72003
1,GP15_3_4,-,0.027991753902392804,55.07994,-155.72033
2,GP15_3_5,-,0.025649453529558056,53.68004,-153.79988
3,GP15_3_6,-,0.025508497930496355,52.00014,-151.99978
4,GP15_3_8,-,0.03057021235256849,47.00009,-151.99986
5,GP15_3_9,-,0.02724935344195758,44.50019,-151.99984
6,GP15_3_10,-,0.024514579224403643,41.99998,-151.99985
7,GP15_3_12,-,0.02530717981339397,37.00007,-152.00017
8,GP15_3_14,-,0.022668783576455607,32.00006,-151.99991
9,GP15_3_15,-,0.019025976602442,29.5003,-152.0005
10,GP15_3_16,-,0.0196634926722945,26.99984,-152.00004
11,GP15_3_18,-,0.020204905919277507,22.00015,-152.00005
12,GP15_3_18-3,-,0.022361227324189856,19.68113,-154.51301
13,GP15_3_19,-,0.024752482963970403,17.49998,-152.00007
14,GP15_3_21,-,0.025338165630062377,11.00013,-152.00001
15,GP15_3_23,-,0.02557248641349273,7.52686,-152.01638
16,GP15_3_25,-,0.02730404470585433,5.01547,-152.333
17,GP15_3_27,-,0.023046235714235908,2.49982,-152.01363
18,GP15_3_29,-,0.016045831295835325,0.032,-152.01378
19,GP15_3_31,-,0.023079598811363265,-2.50475,-152.00003
20,GP15_3_33,-,0.028700911727298724,-4.99972,-152.0347
21,GP15_3_35,-,0.023851216199734536,-10.49975,-151.99948
22,GP15_3_37,-,0.023660298150018362,-14.9986,-151.99808
23,GP15_3_39,-,0.023391033428697056,-19.99443,-152.09907
24,GP17-OCE_3_1,-,0.024219596952912995,-19.9999,-152.0003
25,GP17-OCE_3_3,-,0.02071212462073608,-24.9996,-151.25
26,GP17-OCE_3_6,-,0.02359921835378631,-32.5,-150.0012
27,GP17-OCE_3_8,-,0.02647515721962366,-37.5001,-149.2803
28,GP17-OCE_3_10,-,0.024969930103591116,-42.5003,-148.4706
29,GP17-OCE_3_12,-,0.028046206521913794,-47.5,-147.5199
30,GP17-OCE_3_14,-,0.0662692847630395,-52.312,-146.4033
31,GP17-OCE_3_16,-,0.06260205810462867,-54.9995,-145.6559
32,GP17-OCE_3_18,-,0.0366252141335245,-56.1052,-145.3377
33,GP17-OCE_3_20,-,0.0411414170364843,-57.6014,-144.8581
34,GP17-OCE_3_22,-,0.05749018757915639,-59.9971,-143.9992
35,GP17-OCE_3_25,-,0.04149933346525967,-66.9998,-134.9994
36,GP17-OCE_3_27,-,0.033591827027774156,-67.0003,-115.0079
37,GP17-OCE_3_32,-,0.05201509143422034,-59.9984,-82.4956
38,GP17-OCE_3_33,-,0.044635283626413794,-57.0001,-78.9996
39,GP17-OCE_3_35,-,0.0357226603002277,-54.3512,-76.5493
40,GP17-OCE_3_37,-,0.04581886198506768,-53.4991,-75.751
41,GP17-OCE_3_38,-,0.022275912614299148,-52.7019,-75.0972
42,GP15_3_3,A,0.00994440522622459,55.08013,-155.72003
43,GP15_3_4,A,0.011463264853771901,55.07994,-155.72033
44,GP15_3_5,A,0.011940773080651184,53.68004,-153.79988
45,GP15_3_6,A,0.011288835954552955,52.00014,-151.99978
46,GP15_3_8,A,0.008638904040833568,47.00009,-151.99986
47,GP15_3_9,A,0.009133871729123628,44.50019,-151.99984
48,GP15_3_10,A,0.007721490706267105,41.99998,-151.99985
49,GP15_3_12,A,0.0058309199927229285,37.00007,-152.00017
50,GP15_3_14,A,0.006665301450624252,32.00006,-151.99991
51,GP15_3_15,A,0.005963828705483268,29.5003,-152.0005
52,GP15_3_16,A,0.006313897171280193,26.99984,-152.00004
53,GP15_3_18,A,0.006760053793249686,22.00015,-152.00005
54,GP15_3_18-3,A,0.006433788477866466,19.68113,-154.51301
55,GP15_3_19,A,0.006293922956662503,17.49998,-152.00007
56,GP15_3_21,A,0.00445432227510572,11.00013,-152.00001
57,GP15_3_23,A,0.0062788571768527465,7.52686,-152.01638
