,stn,clade,sum,lat,lon
0,GP15_02_1,Archaea,0.005270202230888308,56.05909,-156.96154
1,GP15_02_3,Archaea,0.011223309086769995,55.08013,-155.72003
2,GP15_02_4,Archaea,0.014396431012067007,55.07994,-155.72033
3,GP15_02_5,Archaea,0.013162514669115265,53.68004,-153.79988
4,GP15_02_6,Archaea,0.01571517819615881,52.00014,-151.99978
5,GP15_02_8,Archaea,0.0022283137257520904,47.00009,-151.99986
6,GP15_02_9,Archaea,0.0015666855938438974,44.50019,-151.99984
7,GP15_02_10,Archaea,0.003462138108600856,41.99998,-151.99985
8,GP15_02_12,Archaea,0.0017490627630703998,37.00007,-152.00017
9,GP15_02_14,Archaea,0.0019990141858381672,32.00006,-151.99991
10,GP15_02_15,Archaea,0.001589907615897931,29.5003,-152.0005
11,GP15_02_16,Archaea,0.0014057104994732062,26.99984,-152.00004
12,GP15_02_18,Archaea,0.0015436076444588262,22.00015,-152.00005
13,GP15_02_18-3,Archaea,0.0015839361884153144,19.68113,-154.51301
14,GP15_02_19,Archaea,0.0016794439259021977,17.49998,-152.00007
15,GP15_02_21,Archaea,0.0014647706618691131,11.00013,-152.00001
16,GP15_02_23,Archaea,0.0015636778146280446,7.52686,-152.01638
17,GP15_02_25,Archaea,0.0013850523649992375,5.01547,-152.0233
18,GP15_02_27,Archaea,0.001663498150916556,2.49982,-152.01363
19,GP15_02_29,Archaea,0.0020249506638132754,0.0022,-152.01378
20,GP15_02_31,Archaea,0.002063607804664377,-2.50475,-152.00003
21,GP15_02_33,Archaea,0.0020706757524451905,-4.99972,-152.00247
22,GP15_02_35,Archaea,0.0011039392232410899,-10.49975,-151.99948
23,GP15_02_37,Archaea,0.0011518983238759336,-14.9986,-151.99808
24,GP15_02_39,Archaea,0.0011926517168054022,-19.99443,-152.09907
25,GP17-OCE_02_1,Archaea,0.002624467703159664,-19.9999,-152.0003
26,GP17-OCE_02_3,Archaea,0.0023079002396335156,-24.9996,-151.25
27,GP17-OCE_02_6,Archaea,0.002067331814483344,-32.5,-150.0012
28,GP17-OCE_02_8,Archaea,0.0016134217574959632,-37.5001,-149.2803
29,GP17-OCE_02_10,Archaea,0.0011511011804773731,-42.5003,-148.4706
30,GP17-OCE_02_12,Archaea,0.0008016938969895858,-47.5,-147.5199
31,GP17-OCE_02_14,Archaea,0.0017215845189543205,-52.312,-146.4033
32,GP17-OCE_02_16,Archaea,0.000832511532623007,-54.9995,-145.6559
33,GP17-OCE_02_18,Archaea,0.0004607052471296259,-56.1052,-145.3377
34,GP17-OCE_02_20,Archaea,0.0005026268828497119,-57.6014,-144.8581
35,GP17-OCE_02_22,Archaea,0.00014136872593402297,-59.9971,-143.9992
36,GP17-OCE_02_25,Archaea,0.00023089176123704052,-66.9998,-134.9994
37,GP17-OCE_02_27,Archaea,0.00024069323476642561,-67.0003,-115.0079
38,GP17-OCE_02_29,Archaea,0.00032095869954789117,-66.9988,-100.001
39,GP17-OCE_02_32,Archaea,0.0004991125931064078,-59.9984,-82.4956
40,GP17-OCE_02_33,Archaea,0.001176918889458765,-57.0001,-78.9996
41,GP17-OCE_02_35,Archaea,0.0019034845455390588,-54.3512,-76.5493
42,GP17-OCE_02_37,Archaea,0.008035995043188048,-53.4991,-75.751
43,GP17-OCE_02_38,Archaea,0.01923157272916918,-52.7019,-75.0972
44,GP15_02_1,Bacteria,0.5139610679424438,56.05909,-156.96154
45,GP15_02_3,Bacteria,0.6057123731690276,55.08013,-155.72003
46,GP15_02_4,Bacteria,0.5329490338134039,55.07994,-155.72033
47,GP15_02_5,Bacteria,0.6322724054106361,53.68004,-153.79988
48,GP15_02_6,Bacteria,0.640135801281273,52.00014,-151.99978
49,GP15_02_8,Bacteria,0.5746613306130892,47.00009,-151.99986
50,GP15_02_9,Bacteria,0.6381070817037284,44.50019,-151.99984
51,GP15_02_10,Bacteria,0.7309585213158981,41.99998,-151.99985
52,GP15_02_12,Bacteria,0.7713680534119781,37.00007,-152.00017
53,GP15_02_14,Bacteria,0.7650961939700328,32.00006,-151.99991
54,GP15_02_15,Bacteria,0.7379180535435268,29.5003,-152.0005
55,GP15_02_16,Bacteria,0.7794496352425389,26.99984,-152.00004
56,GP15_02_18,Bacteria,0.7695984189724544,22.00015,-152.00005
57,GP15_02_18-3,Bacteria,0.8206511858659825,19.68113,-154.51301
58,GP15_02_19,Bacteria,0.8225188840086358,17.49998,-152.00007
59,GP15_02_21,Bacteria,0.8170338027444898,11.00013,-152.00001
60,GP15_02_23,Bacteria,0.807487525937935,7.52686,-152.01638
61,GP15_02_25,Bacteria,0.8166554314048146,5.01547,-152.0233
62,GP15_02_27,Bacteria,0.7745139556582704,2.49982,-152.01363
63,GP15_02_29,Bacteria,0.6517287409680891,0.0022,-152.01378
64,GP15_02_31,Bacteria,0.6916966023177011,-2.50475,-152.00003
65,GP15_02_33,Bacteria,0.5915806485665889,-4.99972,-152.00247
66,GP15_02_35,Bacteria,0.5605498355757541,-10.49975,-151.99948
67,GP15_02_37,Bacteria,0.698825454743161,-14.9986,-151.99808
68,GP15_02_39,Bacteria,0.686713035836343,-19.99443,-152.09907
69,GP17-OCE_02_1,Bacteria,0.7903173800673072,-19.9999,-152.0003
70,GP17-OCE_02_3,Bacteria,0.8071566655179474,-24.9996,-151.25
71,GP17-OCE_02_6,Bacteria,0.7608935833850957,-32.5,-150.0012
72,GP17-OCE_02_8,Bacteria,0.6723543627820162,-37.5001,-149.2803
73,GP17-OCE_02_10,Bacteria,0.6601205191225276,-42.5003,-148.4706
74,GP17-OCE_02_12,Bacteria,0.6000616439158246,-47.5,-147.5199
75,GP17-OCE_02_14,Bacteria,0.646724333258101,-52.312,-146.4033
76,GP17-OCE_02_16,Bacteria,0.6517687279325957,-54.9995,-145.6559
77,GP17-OCE_02_18,Bacteria,0.5297576719775102,-56.1052,-145.3377
78,GP17-OCE_02_20,Bacteria,0.5796731290700053,-57.6014,-144.8581
79,GP17-OCE_02_22,Bacteria,0.39300536416653925,-59.9971,-143.9992
80,GP17-OCE_02_25,Bacteria,0.38209565046625654,-66.9998,-134.9994
81,GP17-OCE_02_27,Bacteria,0.358963574803196,-67.0003,-115.0079
82,GP17-OCE_02_29,Bacteria,0.47656804778963974,-66.9988,-100.001
83,GP17-OCE_02_32,Bacteria,0.5195690782792787,-59.9984,-82.4956
84,GP17-OCE_02_33,Bacteria,0.5169627234555424,-57.0001,-78.9996
85,GP17-OCE_02_35,Bacteria,0.5018043505284178,-54.3512,-76.5493
86,GP17-OCE_02_37,Bacteria,0.49251727926091077,-53.4991,-75.751
87,GP17-OCE_02_38,Bacteria,0.6107085761730229,-52.7019,-75.0972
88,GP15_02_1,Eukaryota,0.417373132881535,56.05909,-156.96154
89,GP15_02_3,Eukaryota,0.2947197062518159,55.08013,-155.72003
90,GP15_02_4,Eukaryota,0.3702317825434583,55.07994,-155.72033
91,GP15_02_5,Eukaryota,0.2683946856435474,53.68004,-153.79988
92,GP15_02_6,Eukaryota,0.25483718164042257,52.00014,-151.99978
93,GP15_02_8,Eukaryota,0.3292297573509995,47.00009,-151.99986
