,stn,module,sum,lat,lon
0,GP15_3_3,-,0.47642126118947226,55.08013,-155.72003
1,GP15_3_4,-,0.48161517622984057,55.07994,-155.72033
2,GP15_3_5,-,0.47856565329744344,53.68004,-153.79988
3,GP15_3_6,-,0.4820624125395964,52.00014,-151.99978
4,GP15_3_8,-,0.4870556198949082,47.00009,-151.99986
5,GP15_3_9,-,0.49810934422397235,44.50019,-151.99984
6,GP15_3_10,-,0.5380002594182323,41.99998,-151.99985
7,GP15_3_12,-,0.5856294307394542,37.00007,-152.00017
8,GP15_3_14,-,0.5942667726002137,32.00006,-151.99991
9,GP15_3_15,-,0.5944608302550233,29.5003,-152.0005
10,GP15_3_16,-,0.5914403449890907,26.99984,-152.00004
11,GP15_3_18,-,0.6361055879782838,22.00015,-152.00005
12,GP15_3_18-3,-,0.6342264884596586,19.68113,-154.51301
13,GP15_3_19,-,0.6349597144769767,17.49998,-152.00007
14,GP15_3_21,-,0.718530649189664,11.00013,-152.00001
15,GP15_3_23,-,0.6186924714647181,7.52686,-152.01638
16,GP15_3_25,-,0.6244059513017364,5.01547,-152.333
17,GP15_3_27,-,0.6222237217355407,2.49982,-152.01363
18,GP15_3_29,-,0.5453987367102643,0.032,-152.01378
19,GP15_3_31,-,0.5748341023547106,-2.50475,-152.00003
20,GP15_3_33,-,0.5456800839257017,-4.99972,-152.0347
21,GP15_3_35,-,0.5718783425795663,-10.49975,-151.99948
22,GP15_3_37,-,0.6225800746504054,-14.9986,-151.99808
23,GP15_3_39,-,0.6423961190800186,-19.99443,-152.09907
24,GP17-OCE_3_1,-,0.5964781452151684,-19.9999,-152.0003
25,GP17-OCE_3_3,-,0.549270948358694,-24.9996,-151.25
26,GP17-OCE_3_6,-,0.5471132944384702,-32.5,-150.0012
27,GP17-OCE_3_8,-,0.502312324911731,-37.5001,-149.2803
28,GP17-OCE_3_10,-,0.41723065770322604,-42.5003,-148.4706
29,GP17-OCE_3_12,-,0.4506162605338407,-47.5,-147.5199
30,GP17-OCE_3_14,-,0.4825251431085233,-52.312,-146.4033
31,GP17-OCE_3_16,-,0.5045980510345497,-54.9995,-145.6559
32,GP17-OCE_3_18,-,0.4636967577615713,-56.1052,-145.3377
33,GP17-OCE_3_20,-,0.4227485464363962,-57.6014,-144.8581
34,GP17-OCE_3_22,-,0.4645833202720076,-59.9971,-143.9992
35,GP17-OCE_3_25,-,0.43436357581925783,-66.9998,-134.9994
36,GP17-OCE_3_27,-,0.4727622315917966,-67.0003,-115.0079
37,GP17-OCE_3_32,-,0.4784311779294986,-59.9984,-82.4956
38,GP17-OCE_3_33,-,0.492244550282864,-57.0001,-78.9996
39,GP17-OCE_3_35,-,0.4740502315030773,-54.3512,-76.5493
40,GP17-OCE_3_37,-,0.46349207059724823,-53.4991,-75.751
41,GP17-OCE_3_38,-,0.4440641753758271,-52.7019,-75.0972
42,GP15_3_3,M00001,0.0,55.08013,-155.72003
43,GP15_3_4,M00001,0.0,55.07994,-155.72033
44,GP15_3_5,M00001,0.0,53.68004,-153.79988
45,GP15_3_6,M00001,0.0,52.00014,-151.99978
46,GP15_3_8,M00001,0.0,47.00009,-151.99986
