Label	Stn ID
240916_GP15_3um_03 Spectral Count	GP15_3_3
240916_GP15_3um_04 Spectral Count	GP15_3_4
240916_GP15_3um_05 Spectral Count	GP15_3_5
240916_GP15_3um_06 Spectral Count	GP15_3_6
240916_GP15_3um_08 Spectral Count	GP15_3_8
240916_GP15_3um_09 Spectral Count	GP15_3_9
240916_GP15_3um_10 Spectral Count	GP15_3_10
240916_GP15_3um_12 Spectral Count	GP15_3_12
240916_GP15_3um_14 Spectral Count	GP15_3_14
240916_GP15_3um_15 Spectral Count	GP15_3_15
240916_GP15_3um_16 Spectral Count	GP15_3_16
240916_GP15_3um_18 Spectral Count	GP15_3_18
240916_GP15_3um_18_3 Spectral Count	GP15_3_18-3
240916_GP15_3um_19 Spectral Count	GP15_3_19
240916_GP15_3um_21 Spectral Count	GP15_3_21
240916_GP15_3um_23 Spectral Count	GP15_3_23
240916_GP15_3um_25 Spectral Count	GP15_3_25
240916_GP15_3um_27 Spectral Count	GP15_3_27
240916_GP15_3um_29 Spectral Count	GP15_3_29
240916_GP15_3um_31 Spectral Count	GP15_3_31
240916_GP15_3um_33 Spectral Count	GP15_3_33
240916_GP15_3um_35 Spectral Count	GP15_3_35
240916_GP15_3um_37 Spectral Count	GP15_3_37
240916_GP15_3um_39 Spectral Count	GP15_3_39
240906_6ug_GP17_3um_01 Spectral Count	GP17-OCE_3_1
240906_6ug_GP17_3um_03 Spectral Count	GP17-OCE_3_3
240906_6ug_GP17_3um_06 Spectral Count	GP17-OCE_3_6
240906_6ug_GP17_3um_08 Spectral Count	GP17-OCE_3_8
240906_6ug_GP17_3um_10 Spectral Count	GP17-OCE_3_10
240906_6ug_GP17_3um_12 Spectral Count	GP17-OCE_3_12
240906_6ug_GP17_3um_14 Spectral Count	GP17-OCE_3_14
240906_6ug_GP17_3um_16 Spectral Count	GP17-OCE_3_16
240906_6ug_GP17_3um_18 Spectral Count	GP17-OCE_3_18
240906_6ug_GP17_3um_20 Spectral Count	GP17-OCE_3_20
240906_6ug_GP17_3um_22 Spectral Count	GP17-OCE_3_22
240906_6ug_GP17_3um_25 Spectral Count	GP17-OCE_3_25
240906_6ug_GP17_3um_27 Spectral Count	GP17-OCE_3_27
240906_6ug_GP17_3um_32 Spectral Count	GP17-OCE_3_32
240906_6ug_GP17_3um_33 Spectral Count	GP17-OCE_3_33
240906_6ug_GP17_3um_35 Spectral Count	GP17-OCE_3_35
240906_6ug_GP17_3um_37 Spectral Count	GP17-OCE_3_37
240906_6ug_GP17_3um_38 Spectral Count	GP17-OCE_3_38
